Timestamp,Player,Score,Result
0-00-00 09:00:18,Max,6,Correct! The colors are properly sorted!
0-00-00 09:02:36,Ash,6,Correct! The colors are properly sorted!
0-00-00 09:02:51,Mithi,4,Correct! The colors are properly sorted!
0-00-00 09:03:11,Ash,3,Correct! The colors are properly sorted!
0-00-00 09:04:05,Max,3,Correct! The colors are properly sorted!
0-00-00 09:04:37,Mithi,6,Correct! The colors are properly sorted!
0-00-00 09:00:19,Ash,5,Correct! The colors are properly sorted!
0-00-00 09:02:66,Ash,7,Correct! The colors are properly sorted!
0-00-00 09:02:81,Ash,20,Correct! The colors are properly sorted!
0-00-00 09:03:12,Ash,5,Not quite right. Keep trying!
0-00-00 09:04:69,Mithi,12,Not quite right. Keep trying!
0-00-00 09:04:101,Ash,18,Not quite right. Keep trying!
0-00-00 09:00:20,Mithi,11,Correct! The colors are properly sorted!
0-00-00 09:02:96,Max,6,Not quite right. Keep trying!
0-00-00 09:02:111,Ash,9,Correct! The colors are properly sorted!
0-00-00 09:03:13,Max,13,Not quite right. Keep trying!
0-00-00 09:04:133,Max,4,Correct! The colors are properly sorted!
0-00-00 09:04:165,Ash,4,Not quite right. Keep trying!
0-00-00 09:00:21,Mithi,8,Not quite right. Keep trying!
0-00-00 09:02:126,Max,17,Not quite right. Keep trying!
0-00-00 09:02:141,Ash,9,Correct! The colors are properly sorted!
0-00-00 09:03:14,Ash,17,Correct! The colors are properly sorted!
0-00-00 09:04:197,Mithi,15,Correct! The colors are properly sorted!
0-00-00 09:04:229,Max,7,Correct! The colors are properly sorted!
0-00-00 09:00:22,Max,8,Not quite right. Keep trying!
0-00-00 09:02:156,Ash,15,Not quite right. Keep trying!
0-00-00 09:02:171,Mithi,9,Not quite right. Keep trying!
0-00-00 09:03:15,Mithi,12,Correct! The colors are properly sorted!
0-00-00 09:04:261,Mithi,5,Correct! The colors are properly sorted!
0-00-00 09:04:293,Max,20,Correct! The colors are properly sorted!
0-00-00 09:00:23,Max,20,Correct! The colors are properly sorted!
0-00-00 09:02:186,Ash,16,Correct! The colors are properly sorted!
0-00-00 09:02:201,Max,14,Not quite right. Keep trying!
0-00-00 09:03:16,Mithi,5,Correct! The colors are properly sorted!
0-00-00 09:04:325,Mithi,2,Not quite right. Keep trying!
0-00-00 09:04:357,Mithi,14,Not quite right. Keep trying!
0-00-00 09:00:24,Mithi,17,Correct! The colors are properly sorted!
0-00-00 09:02:216,Mithi,3,Correct! The colors are properly sorted!
0-00-00 09:02:231,Max,11,Correct! The colors are properly sorted!
0-00-00 09:03:17,Max,10,Not quite right. Keep trying!
0-00-00 09:04:389,Mithi,6,Not quite right. Keep trying!
0-00-00 09:04:421,Ash,4,Correct! The colors are properly sorted!
0-00-00 09:00:25,Max,13,Correct! The colors are properly sorted!
0-00-00 09:02:246,Ash,5,Correct! The colors are properly sorted!
0-00-00 09:02:261,Mithi,4,Correct! The colors are properly sorted!
0-00-00 09:03:18,Mithi,13,Correct! The colors are properly sorted!
0-00-00 09:04:453,Mithi,19,Not quite right. Keep trying!
0-00-00 09:04:485,Max,6,Not quite right. Keep trying!
0-00-00 09:00:26,Mithi,19,Correct! The colors are properly sorted!
0-00-00 09:02:276,Mithi,0,Not quite right. Keep trying!
0-00-00 09:02:291,Ash,19,Not quite right. Keep trying!
0-00-00 09:03:19,Mithi,15,Correct! The colors are properly sorted!
0-00-00 09:04:517,Max,12,Not quite right. Keep trying!
0-00-00 09:04:549,Max,17,Not quite right. Keep trying!
0-00-00 09:00:27,Mithi,2,Not quite right. Keep trying!
0-00-00 09:02:306,Ash,1,Correct! The colors are properly sorted!
0-00-00 09:02:321,Max,2,Correct! The colors are properly sorted!
0-00-00 09:03:20,Mithi,15,Correct! The colors are properly sorted!
0-00-00 09:04:581,Max,6,Not quite right. Keep trying!
0-00-00 09:04:613,Ash,5,Correct! The colors are properly sorted!
0-00-00 09:00:28,Max,4,Correct! The colors are properly sorted!
0-00-00 09:02:336,Max,4,Not quite right. Keep trying!
0-00-00 09:02:351,Mithi,9,Correct! The colors are properly sorted!
0-00-00 09:03:21,Max,20,Not quite right. Keep trying!
0-00-00 09:04:645,Mithi,16,Not quite right. Keep trying!
0-00-00 09:04:677,Mithi,10,Not quite right. Keep trying!
0-00-00 09:00:29,Ash,15,Not quite right. Keep trying!
0-00-00 09:02:366,Max,9,Not quite right. Keep trying!
0-00-00 09:02:381,Ash,6,Not quite right. Keep trying!
0-00-00 09:03:22,Max,6,Not quite right. Keep trying!
0-00-00 09:04:709,Max,5,Not quite right. Keep trying!
0-00-00 09:04:741,Max,19,Correct! The colors are properly sorted!
0-00-00 09:00:30,Mithi,19,Correct! The colors are properly sorted!
0-00-00 09:02:396,Max,4,Not quite right. Keep trying!
0-00-00 09:02:411,Max,6,Correct! The colors are properly sorted!
0-00-00 09:03:23,Max,14,Not quite right. Keep trying!
0-00-00 09:04:773,Max,0,Correct! The colors are properly sorted!
0-00-00 09:04:805,Ash,5,Not quite right. Keep trying!
0-00-00 09:00:31,Max,16,Correct! The colors are properly sorted!
0-00-00 09:02:426,Max,7,Correct! The colors are properly sorted!
0-00-00 09:02:441,Max,17,Correct! The colors are properly sorted!
0-00-00 09:03:24,Max,20,Not quite right. Keep trying!
0-00-00 09:04:837,Ash,1,Not quite right. Keep trying!
0-00-00 09:04:869,Ash,10,Correct! The colors are properly sorted!
0-00-00 09:00:32,Mithi,7,Not quite right. Keep trying!
0-00-00 09:02:456,Ash,4,Correct! The colors are properly sorted!
0-00-00 09:02:471,Ash,1,Not quite right. Keep trying!
0-00-00 09:03:25,Mithi,6,Correct! The colors are properly sorted!
0-00-00 09:04:901,Ash,16,Correct! The colors are properly sorted!
0-00-00 09:04:933,Ash,15,Correct! The colors are properly sorted!
0-00-00 09:00:33,Mithi,18,Not quite right. Keep trying!
0-00-00 09:02:486,Mithi,10,Not quite right. Keep trying!
0-00-00 09:02:501,Ash,12,Not quite right. Keep trying!
0-00-00 09:03:26,Ash,14,Correct! The colors are properly sorted!
0-00-00 09:04:965,Mithi,7,Not quite right. Keep trying!
0-00-00 09:04:997,Ash,12,Correct! The colors are properly sorted!
0-00-00 09:00:34,Ash,3,Not quite right. Keep trying!
0-00-00 09:02:516,Mithi,16,Not quite right. Keep trying!
0-00-00 09:02:531,Mithi,17,Not quite right. Keep trying!
0-00-00 09:03:27,Max,0,Not quite right. Keep trying!
0-00-00 09:04:1029,Ash,1,Correct! The colors are properly sorted!
0-00-00 09:04:1061,Max,13,Correct! The colors are properly sorted!
0-00-00 09:00:35,Ash,11,Not quite right. Keep trying!
0-00-00 09:02:546,Ash,16,Correct! The colors are properly sorted!
0-00-00 09:02:561,Mithi,20,Correct! The colors are properly sorted!
0-00-00 09:03:28,Mithi,14,Not quite right. Keep trying!
0-00-00 09:04:1093,Max,11,Correct! The colors are properly sorted!
0-00-00 09:04:1125,Mithi,13,Not quite right. Keep trying!
0-00-00 09:00:36,Ash,10,Correct! The colors are properly sorted!
0-00-00 09:02:576,Mithi,20,Correct! The colors are properly sorted!
0-00-00 09:02:591,Max,10,Correct! The colors are properly sorted!
0-00-00 09:03:29,Ash,1,Correct! The colors are properly sorted!
0-00-00 09:04:1157,Max,19,Correct! The colors are properly sorted!
0-00-00 09:04:1189,Ash,11,Correct! The colors are properly sorted!
0-00-00 09:00:37,Max,9,Not quite right. Keep trying!
0-00-00 09:02:606,Max,9,Correct! The colors are properly sorted!
0-00-00 09:02:621,Mithi,10,Correct! The colors are properly sorted!
0-00-00 09:03:30,Ash,4,Correct! The colors are properly sorted!
0-00-00 09:04:1221,Mithi,17,Correct! The colors are properly sorted!
0-00-00 09:04:1253,Max,5,Not quite right. Keep trying!
0-00-00 09:00:38,Ash,20,Correct! The colors are properly sorted!
0-00-00 09:02:636,Ash,10,Correct! The colors are properly sorted!
0-00-00 09:02:651,Mithi,17,Correct! The colors are properly sorted!
0-00-00 09:03:31,Mithi,15,Not quite right. Keep trying!
0-00-00 09:04:1285,Ash,4,Not quite right. Keep trying!
0-00-00 09:04:1317,Max,20,Correct! The colors are properly sorted!
0-00-00 09:00:39,Ash,12,Correct! The colors are properly sorted!
0-00-00 09:02:666,Mithi,7,Correct! The colors are properly sorted!
0-00-00 09:02:681,Mithi,16,Not quite right. Keep trying!
0-00-00 09:03:32,Ash,11,Not quite right. Keep trying!
0-00-00 09:04:1349,Ash,20,Not quite right. Keep trying!
0-00-00 09:04:1381,Max,0,Correct! The colors are properly sorted!
0-00-00 09:00:40,Max,3,Correct! The colors are properly sorted!
0-00-00 09:02:696,Max,20,Correct! The colors are properly sorted!
0-00-00 09:02:711,Mithi,4,Correct! The colors are properly sorted!
0-00-00 09:03:33,Mithi,13,Not quite right. Keep trying!
0-00-00 09:04:1413,Mithi,17,Correct! The colors are properly sorted!
0-00-00 09:04:1445,Ash,7,Not quite right. Keep trying!
0-00-00 09:00:41,Max,15,Not quite right. Keep trying!
0-00-00 09:02:726,Ash,14,Correct! The colors are properly sorted!
0-00-00 09:02:741,Mithi,3,Correct! The colors are properly sorted!
0-00-00 09:03:34,Mithi,3,Not quite right. Keep trying!
0-00-00 09:04:1477,Max,16,Not quite right. Keep trying!
0-00-00 09:04:1509,Mithi,4,Not quite right. Keep trying!
0-00-00 09:00:42,Max,14,Correct! The colors are properly sorted!
0-00-00 09:02:756,Max,2,Correct! The colors are properly sorted!
0-00-00 09:02:771,Mithi,4,Correct! The colors are properly sorted!
0-00-00 09:03:35,Mithi,8,Correct! The colors are properly sorted!
0-00-00 09:04:1541,Ash,18,Correct! The colors are properly sorted!
0-00-00 09:04:1573,Ash,3,Correct! The colors are properly sorted!
0-00-00 09:00:43,Ash,18,Not quite right. Keep trying!
0-00-00 09:02:786,Ash,15,Correct! The colors are properly sorted!
0-00-00 09:02:801,Mithi,1,Correct! The colors are properly sorted!
0-00-00 09:03:36,Max,2,Not quite right. Keep trying!
0-00-00 09:04:1605,Ash,16,Correct! The colors are properly sorted!
0-00-00 09:04:1637,Max,10,Not quite right. Keep trying!
0-00-00 10:46:17,Ash,0,Not quite right. Keep trying!
0-00-00 10:46:29,Mithi,6,Correct! The colors are properly sorted!
0-00-00 10:46:38,Mithi,4,Correct! The colors are properly sorted!
0-00-00 10:47:00,Max,4,Correct! The colors are properly sorted!
0-00-00 10:47:13,Ash,3,Correct! The colors are properly sorted!
0-00-00 10:47:31,Ash,8,Correct! The colors are properly sorted!
0-00-00 10:47:48,Ash,6,Correct! The colors are properly sorted!
0-00-00 10:48:04,Max,4,Correct! The colors are properly sorted!
0-00-00 10:48:16,Mithi,6,Correct! The colors are properly sorted!
0-00-00 10:48:22,Max,5,Correct! The colors are properly sorted!
0-00-00 10:48:27,Mithi,3,Not quite right. Keep trying!
0-00-00 10:48:40,Max,1,Not quite right. Keep trying!
0-00-00 10:49:03,Ash,1,Not quite right. Keep trying!
0-00-00 10:49:55,Ash,5,Not quite right. Keep trying!
0-00-00 10:51:05,Ash,6,Not quite right. Keep trying!
0-00-00 10:51:29,Max,4,Correct! The colors are properly sorted!
0-00-00 10:51:36,Ash,5,Correct! The colors are properly sorted!
0-00-00 10:51:52,Mithi,9,Correct! The colors are properly sorted!
