Timestamp,Player,Disks,Moves Taken,Minimum Moves,Solution Status
2025-02-09T08:50:58,Max,3,7,7,Solved!
2025-02-09T08:52:26,Ash,3,13,7,Keep trying
2025-02-09T08:50:59,Mithi,10,1025,1023,Keep trying
2025-02-09T08:52:27,Ash,4,21,15,Keep trying
2025-02-09T08:50:60,Max,9,511,511,Solved!
2025-02-09T08:52:28,Mithi,10,1023,1023,Solved!
2025-02-09T08:50:61,Ash,5,32,31,Keep trying
2025-02-09T08:52:29,Ash,10,1027,1023,Keep trying
2025-02-09T08:50:62,Ash,3,7,7,Solved!
2025-02-09T08:52:30,Ash,9,514,511,Keep trying
2025-02-09T08:50:63,Mithi,10,1030,1023,Keep trying
2025-02-09T08:52:31,Ash,7,133,127,Keep trying
2025-02-09T08:50:64,Mithi,7,128,127,Keep trying
2025-02-09T08:52:32,Max,3,7,7,Solved!
2025-02-09T08:50:65,Ash,8,262,255,Keep trying
2025-02-09T08:52:33,Max,10,1023,1023,Solved!
2025-02-09T08:50:66,Max,5,37,31,Keep trying
2025-02-09T08:52:34,Ash,6,70,63,Keep trying
2025-02-09T08:50:67,Mithi,10,1025,1023,Keep trying
2025-02-09T08:52:35,Max,7,130,127,Keep trying
2025-02-09T08:50:68,Ash,10,1032,1023,Keep trying
2025-02-09T08:52:36,Ash,5,33,31,Keep trying
2025-02-09T08:50:69,Mithi,8,261,255,Keep trying
2025-02-09T08:52:37,Max,10,1026,1023,Keep trying
2025-02-09T08:50:70,Max,7,134,127,Keep trying
2025-02-09T08:52:38,Ash,7,133,127,Keep trying
2025-02-09T08:50:71,Mithi,8,264,255,Keep trying
2025-02-09T08:52:39,Mithi,3,9,7,Keep trying
2025-02-09T08:50:72,Mithi,6,65,63,Keep trying
2025-02-09T08:52:40,Max,5,34,31,Keep trying
2025-02-09T08:50:73,Max,8,257,255,Keep trying
2025-02-09T08:52:41,Ash,6,63,63,Solved!
2025-02-09T08:50:74,Max,5,32,31,Keep trying
2025-02-09T08:52:42,Mithi,5,35,31,Keep trying
2025-02-09T08:50:75,Mithi,7,127,127,Solved!
2025-02-09T08:52:43,Mithi,5,36,31,Keep trying
2025-02-09T08:50:76,Mithi,5,40,31,Keep trying
2025-02-09T08:52:44,Mithi,8,264,255,Keep trying
2025-02-09T08:50:77,Max,3,9,7,Keep trying
2025-02-09T08:52:45,Max,5,31,31,Solved!
2025-02-09T08:50:78,Mithi,8,255,255,Solved!
2025-02-09T08:52:46,Ash,7,135,127,Keep trying
2025-02-09T08:50:79,Max,10,1024,1023,Keep trying
2025-02-09T08:52:47,Ash,8,263,255,Keep trying
2025-02-09T08:50:80,Mithi,10,1025,1023,Keep trying
2025-02-09T08:52:48,Mithi,10,1029,1023,Keep trying
2025-02-09T08:50:81,Mithi,6,64,63,Keep trying
2025-02-09T08:52:49,Max,5,37,31,Keep trying
2025-02-09T08:50:82,Mithi,8,257,255,Keep trying
2025-02-09T08:52:50,Mithi,4,19,15,Keep trying
2025-02-09T08:50:83,Ash,8,257,255,Keep trying
2025-02-09T08:52:51,Mithi,5,37,31,Keep trying
2025-02-09T08:50:84,Max,6,67,63,Keep trying
2025-02-09T08:52:52,Max,3,9,7,Keep trying
2025-02-09T08:50:85,Mithi,5,33,31,Keep trying
2025-02-09T08:52:53,Ash,8,255,255,Solved!
